match_gp,player,market_type,side,line,gp_selection,gp_price,pin_player,pin_price,pin_fair_price,pin_fair_prob,ev_pct,gp_market,gp_odd_id,pin_fixture_id
SF 49ers		 vs. MIA Dolphins,Christian McCaffrey,playertotals-receptions,Over,4.5,Christian McCaffrey (SF) Plus de 4.5,1.9524,"McCaffrey, Christian",1.793,1.878921568627451,0.5322201930602661,3.9106704930863545,Total de réceptions Plus/Moins(Incl. Prolongations),4501345734,id1400003171515802
ARZ Cardinals vs. SEA Seahawks,Cooper Kupp,playertotals-receptions,Under,2.5,Cooper Kupp (SEA) moins de 2.5,1.7693,"Kupp, Cooper",1.636,1.7144104803493447,0.5832908813041264,3.2016556291390996,Total de réceptions Plus/Moins(Incl. Prolongations),4504859456,id1400003171515798
DEN Broncos	 vs. JAX Jaguars,Bo Nix,playertotals-rushattempts,Over,4.5,Bo Nix (DEN) Plus de 4.5,2.0,"Nix, Bo",1.854,1.9411167512690353,0.5151673640167365,3.0334728033472924,Joueur tentative de gain par la course (prolongations incluses),4505202728,id1400003171515794
DEN Broncos	 vs. JAX Jaguars,Jaylen Waddle,playertotals-receptions,Under,4.5,Jaylen Waddle (DEN) moins de 4.5,1.8696,"Waddle, Jaylen",1.735,1.8183962264150941,0.5499351491569391,2.8158754863813362,Total de réceptions Plus/Moins(Incl. Prolongations),4505197753,id1400003171515794
LA Rams vs. NY Giants,Isaiah Likely,playertotals-receptions,Under,4.5,Isaiah Likely (NYG) moins de 4.5,1.8696,"Likely, Isaiah",1.724,1.8209523809523809,0.549163179916318,2.6715481171548205,Total de réceptions Plus/Moins(Incl. Prolongations),4500437429,id1400003171515806
DEN Broncos	 vs. JAX Jaguars,Adam Trautman,playertotals-receptions,Under,1.5,Adam Trautman (DEN) moins de 1.5,1.5715,"Trautman, Adam",1.467,1.5373626373626372,0.6504646175839887,2.220514653323802,Total de réceptions Plus/Moins(Incl. Prolongations),4502055294,id1400003171515794
DAL Cowboys vs. WAS Commanders,Jayden Daniels,playertotals-passcompletions,Over,19.5,Jayden Daniels (WAS) Plus de 19.5,1.8334,"Daniels, Jayden",1.714,1.7972093023255813,0.5564182194616978,2.0137163561076754,"Passes complétées, Joueur (prolongations incluses) ",4497679328,id1400003171515800
DEN Broncos	 vs. JAX Jaguars,Courtland Sutton,playertotals-receptions,Under,3.5,Courtland Sutton (DEN) moins de 3.5,1.9091,"Sutton, Courtland",1.787,1.8717073170731706,0.5342715663278603,1.997784727651819,Total de réceptions Plus/Moins(Incl. Prolongations),4502055100,id1400003171515794
KC Chiefs vs. IND Colts,Daniel Jones,playertotals-passattempts,Under,32.5,Daniel Jones (IND) moins de 32.5,1.9091,"Jones, Daniel",1.787,1.8759803921568627,0.5330546119675986,1.7654559707342532,Tentatives de passes du joueur Plus/Moins (Incl. Prolongations),4502109290,id1400003171515804
KC Chiefs vs. IND Colts,Rashee Rice,playertotals-receptions,Under,4.5,Rashee Rice (KC) moins de 4.5,2.05,"Rice, Rashee",1.925,2.0174418604651163,0.4956772334293948,1.6138328530259205,Total de réceptions Plus/Moins(Incl. Prolongations),4502059398,id1400003171515804
LA Rams vs. NY Giants,Matthew Stafford,playertotals-passcompletions,Under,21.5,Matthew Stafford (LAR) moins de 21.5,1.9524,"Stafford, Matthew",1.819,1.9233502538071066,0.5199261018738454,1.5103721298495687,"Passes complétées, Joueur (prolongations incluses) ",4497680192,id1400003171515806
LA Chargers	 vs. LV Raiders,Tre Harris,playertotals-receptions,Over,2.5,Tre Harris (LAC) Plus de 2.5,1.7693,"Harris, Tre",1.671,1.7493273542600896,0.5716482953088952,1.1417328890028333,Total de réceptions Plus/Moins(Incl. Prolongations),4499021014,id1400003171515796
DEN Broncos	 vs. JAX Jaguars,Parker Washington,playertotals-receptions,Under,4.5,Parker Washington (JAX) moins de 4.5,2.0,"Washington, Parker",1.892,1.982857142857143,0.5043227665706052,0.8645533141210304,Total de réceptions Plus/Moins(Incl. Prolongations),4502105797,id1400003171515794
ARZ Cardinals vs. SEA Seahawks,Kendrick Bourne,playertotals-receptions,Over,2.5,Kendrick Bourne (ARI) Plus de 2.5,1.8696,"Bourne, Kendrick",1.775,1.857487922705314,0.5383615084525357,0.6520676202860676,Total de réceptions Plus/Moins(Incl. Prolongations),4497747501,id1400003171515798
LA Chargers	 vs. LV Raiders,Tre Tucker,playertotals-receptions,Under,3.5,Tre Tucker (LV) moins de 3.5,1.7693,"Tucker, Tre",1.694,1.7735159817351602,0.5638516992790936,-0.23771884654996134,Total de réceptions Plus/Moins(Incl. Prolongations),4497118707,id1400003171515796
LA Chargers	 vs. LV Raiders,David Njoku,playertotals-receptions,Under,2.5,David Njoku (LAC) moins de 2.5,2.0,"Njoku, David",1.917,2.0089473684210524,0.49777312025150644,-0.44537594969871197,Total de réceptions Plus/Moins(Incl. Prolongations),4501601954,id1400003171515796
LA Rams vs. NY Giants,Malachi Fields,playertotals-receptions,Over,2.5,Malachi Fields (NYG) Plus de 2.5,2.25,"Fields, Malachi",2.14,2.2632821723730814,0.4418362023995827,-0.5868544600938885,Total de réceptions Plus/Moins(Incl. Prolongations),4500150597,id1400003171515806
SF 49ers		 vs. MIA Dolphins,Greg Dulcich,playertotals-receptions,Over,2.5,Greg Dulcich (MIA) Plus de 2.5,2.25,"Dulcich, Greg",2.17,2.273474178403756,0.43985544656685593,-1.032524522457412,Total de réceptions Plus/Moins(Incl. Prolongations),4497121119,id1400003171515802
LA Chargers	 vs. LV Raiders,Quentin Johnston,playertotals-receptions,Over,3.5,Quentin Johnston (LAC) Plus de 3.5,1.8696,"Johnston, Quentin",1.806,1.8896551724137933,0.5291970802919708,-1.0613138686131451,Total de réceptions Plus/Moins(Incl. Prolongations),4497118795,id1400003171515796
LA Chargers	 vs. LV Raiders,Jalen Nailor,playertotals-receptions,Over,2.5,Jalen Nailor (LV) Plus de 2.5,1.7693,"Nailor, Jalen",1.709,1.7912037037037039,0.5582837942620832,-1.2228482812096209,Total de réceptions Plus/Moins(Incl. Prolongations),4497118537,id1400003171515796
